1|Kích thước mỗi kiện hàng chuyển phát nhanh là bao nhiêu?
2|Vietnam airlines yêu cầu tài liệu gì khi gửi hàng nhạy cảm?
3|Tôi có thể gửi hành lý vận chuyển theo đường hàng hóa như thế nào?
4|Vietnam airlines có chấp nhận vận chuyển hàng chuyển phát nhanh là hàng động vật sống không?
5|Vietnam airlines có chấp nhận vận chuyển hàng nguy hiểm đến tất cả các điểm đến không?
6|Vietnam airlines duy trì nhiệt độ bao nhiêu trên tàu bay cho hàng mau hỏng?
7|Vietnam airlines có thể vận chuyển hàng nguy hiểm trên tất cả các tàu bay không?
8|Vietnam airlines chấp nhận vận chuyển những loại hàng nguy hiểm nào?
9|Loại hành lý nào không được gửi theo đường hàng hóa?
10|Hàng hóa có chứa nguyên liệu nguy hiểm có được vietnam airlines chấp nhận vận chuyển không?
11|Vietnam airlines có cung cấp kho mát cho hàng mau hỏng không?
12|Vietnam airlines có chấp nhận hàng nhạy cảm trong lô hàng gom không?
13|Vietnam airlines có vận chuyển hàng nhạy cảm trên tất cả các tàu bay không?
14|Hàng quá khổ, hàng nặng là những loại hàng nào?
15|Tôi có thể gửi hành lý theo đường hàng hóa theo hành trình khác với hành trình ghi trên vé được không?
16|Tôi có thể sử dụng bao nhiêu đá khô để đóng gói lô hàng của mình trên chuyến bay của vietnam airlines?
17|Vietnam airlines có vận chuyển hàng nặng hay hàng quá khổ không?
18|Vietnam airlines có thể duy trì nhiệt độ âm trên tàu bay được không?
19|Vietnam airlines bay trực tiếp đến những điểm nào?
20|Có giống chó nào không được vận chuyển trên chuyến bay của vietnam airlines dưới dạng hàng hóa?
21|Vietnam airlines sử dụng sân bay nào là sân bay trung tâm cho vận chuyển mặt đất?
22|Làm thế nào để gửi hàng đến những điểm mà vienam airlines không có đường bay?
23|Vietnam airlines có yêu cầu đặc biệt gì đối với việc vận chuyển ống không?
24|Vietnam airlines có vận chuyển hàng chuyển phát nhanh từ việt nam đến các nước khác không?
25|Vietnam airlines có chấp nhận vận chuyển động vật sống yêu cầu một nhiệt độ cố định không?
26|Vietnam airlines có chấp nhận vận chuyển quan tài không?
27|Tôi có thể sử dụng phương tiện vận chuyển nào cho lô hàng vận chuyển từ campuchia đến các điểm đến của vietnam airlines?
28|Vietnam airlines có vận chuyển động vật có vú không?
29|Vietnam airlines có vận chuyển động vật sống trên tất cả các tàu bay không?
30|Vietnam airlines có yêu cầu gì đối với vận chuyển hàng hóa có vật liệu giữ lạnh như đá khô, khí hỏa lỏng làm lạnh, đá ướt?
31|Vietnam airlines có vận chuyển khỉ không?
32|Trọng lượng tối đa của 1 kiện hàng thông thường trên các chuyến bay của vietnam airlines là bao nhiêu?
33|Bản hướng dẫn của người gửi hàng là gì?
34|Vietnam airlines có cung cấp dịch vụ vận chuyển đến tận nhà hay không?
35|Tôi có thể lấy nhãn nhận biết hàng hóa ở đâu cho lô hàng vận chuyển trên chuyến bay của vietnam airlines?
